Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
iPhone,1,700,2021-02-26,"866 Spruce St, Portland, ME 04101",Teléfonos
AA Batteries (4-pack),1,3.84,2021-02-21,"18 13th St, San Francisco, CA 94016",Pilas
27in 4K Gaming Monitor,1,389.99,2021-02-26,"52 6th St, New York City, NY 10001",Monitores
Lightning Charging Cable,1,14.95,2021-02-10,"129 Cherry St, Atlanta, GA 30301",Cargadores
USB-C Charging Cable,1,11.95,2021-02-25,"451 2nd St, Los Angeles, CA 90001",Cargadores
Bose SoundSport Headphones,1,99.99,2021-02-25,"198 Center St, Los Angeles, CA 90001",Auriculares
27in FHD Monitor,1,149.99,2021-02-11,"723 Wilson St, Los Angeles, CA 90001",Monitores
Apple Airpods Headphones,1,150,2021-02-26,"101 13th St, New York City, NY 10001",Auriculares
Lightning Charging Cable,1,14.95,2021-02-28,"303 Sunset St, Atlanta, GA 30301",Cargadores
Wired Headphones,1,11.99,2021-02-16,"471 13th St, San Francisco, CA 94016",Auriculares
20in Monitor,1,109.99,2021-02-20,"633 Cherry St, Boston, MA 02215",Monitores
AAA Batteries (4-pack),1,2.99,2021-02-23,"85 Park St, Boston, MA 02215",Pilas
USB-C Charging Cable,1,11.95,2021-02-15,"165 Jefferson St, Los Angeles, CA 90001",Cargadores
AA Batteries (4-pack),4,3.84,2021-02-19,"116 Elm St, Seattle, WA 98101",Pilas
ThinkPad Laptop,1,999.99,2021-02-13,"752 Park St, Los Angeles, CA 90001",Portátiles
USB-C Charging Cable,1,11.95,2021-02-12,"645 Walnut St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),2,2.99,2021-02-20,"246 9th St, Los Angeles, CA 90001",Pilas
Wired Headphones,1,11.99,2021-02-21,"134 8th St, Los Angeles, CA 90001",Auriculares
AA Batteries (4-pack),2,3.84,2021-02-26,"103 14th St, San Francisco, CA 94016",Pilas
Apple Airpods Headphones,1,150,2021-02-26,"218 Ridge St, Atlanta, GA 30301",Auriculares
AA Batteries (4-pack),1,3.84,2021-02-10,"517 10th St, Austin, TX 73301",Pilas
Wired Headphones,1,11.99,2021-02-16,"268 Sunset St, Boston, MA 02215",Auriculares
Lightning Charging Cable,1,14.95,2021-02-18,"723 Elm St, Los Angeles, CA 90001",Cargadores
AAA Batteries (4-pack),1,2.99,2021-02-15,"43 1st St, Atlanta, GA 30301",Pilas
AAA Batteries (4-pack),1,2.99,2021-02-14,"511 Washington St, San Francisco, CA 94016",Pilas
Macbook Pro Laptop,1,1700,2021-02-26,"750 Forest St, Boston, MA 02215",Portátiles
iPhone,1,700,2021-02-13,"522 West St, Boston, MA 02215",Teléfonos
ThinkPad Laptop,1,999.99,2021-02-25,"261 Washington St, Los Angeles, CA 90001",Portátiles
27in 4K Gaming Monitor,1,389.99,2021-02-10,"726 West St, Seattle, WA 98101",Monitores
34in Ultrawide Monitor,1,379.99,2021-02-28,"700 1st St, Dallas, TX 75001",Monitores
AA Batteries (4-pack),1,3.84,2021-02-20,"33 Johnson St, New York City, NY 10001",Pilas
27in FHD Monitor,1,149.99,2021-02-26,"714 Adams St, Portland, OR 97035",Monitores
Lightning Charging Cable,1,14.95,2021-02-18,"419 Hill St, Los Angeles, CA 90001",Cargadores
Wired Headphones,1,11.99,2021-02-12,"864 Hickory St, Boston, MA 02215",Auriculares
Apple Airpods Headphones,1,150,2021-02-15,"506 Willow St, Boston, MA 02215",Auriculares
Apple Airpods Headphones,1,150,2021-02-13,"178 14th St, San Francisco, CA 94016",Auriculares
27in 4K Gaming Monitor,1,389.99,2021-02-24,"663 1st St, Atlanta, GA 30301",Monitores
iPhone,1,700,2021-02-28,"631 Pine St, San Francisco, CA 94016",Teléfonos
Wired Headphones,1,11.99,2021-02-23,"651 Johnson St, New York City, NY 10001",Auriculares
AA Batteries (4-pack),3,3.84,2021-02-12,"981 Lake St, Seattle, WA 98101",Pilas
Wired Headphones,1,11.99,2021-02-26,"786 Meadow St, San Francisco, CA 94016",Auriculares
27in FHD Monitor,1,149.99,2021-02-14,"523 Spruce St, Atlanta, GA 30301",Monitores
Lightning Charging Cable,1,14.95,2021-02-25,"25 7th St, Portland, OR 97035",Cargadores
